original_word,encoded_word
water-ski,25565222206062225026625665655253
incogitancy,250266222055265266022250552255602222504
monomachist,556526222052222502526550252222055622503
midwife,2565562526506225065662223
jetway,250262625005622220266
locaters,2205266520522225600225560662
droopy,250626655506262262522
negotiation,526252622665622506522556522225505662504
posigrade,25200665565522255002252056622263
firsts,220022655656622250626
saddle-bags,225062222600622500566520056625625602563
dress-form,25665665250626226656252200222526025
shipworms,22506222562066520566222260662223
photogenes,22506662565066526252225205662265522
unrevealed,55205622565526552602625005622520526
beard-tongue,256002625602622260062522602622665660565262
incorporation,5262062226252625060225565222255002652506662264
opticon,5262522222606622505662504
longiloquence,2565566220552252625262560522256566225052662264
verbigeration,5226526226656225560265560626250506252002222563
ember-week,22065622565562256002622602622526020
coriaceous,22006222565222222602625650622200062
unslept,5520262550522625200225564
organ-gallery,2502222525062625605225566062556252665055622263
Methodist,50652622200262255656655650662264
flea-flicker,520022625655662206562220006265025625566526
skeesicks,22506222202022220056225065622253
bushy,250662655565622253
recognises,22506262560562220062225025225266522
mutinies,2205262252056225565665262062
epipharynx,55062625226066250266252506662505066
white-footed,552052225650665565662222656622665620265562
renter,525062625605625565226
clode,256002255655662264
hour-circle,256506655625222250562525062665025622203
aneurisms,22006622562526220026225565625253
carabao,2266022250006252500262503
enfeebling,22605625262526250652655665625200562
glide-plane,256052252625662505062556656655002626564
ostentation,526252222260222556566556026225055265523
vilipends,22502265565062526256625650625553
Gomorrahy,20062225502522250556252052225253
resettled,55200262560562552602255602625523
blasphemes,22006262565566256606225200225556066
blondish,5506026220526625025225565526
jestee,256502625605625520622
testees,2250266256056225200225523
flicky,250622622025662205062
scriptless,22506222200622252002655620625520666
celebutante,256002255602625262566250056255606262523
Odocoileus,26052222560266256552255660222502522
unprovident,552026252625262520066552002625025225223
noncausal,55625262505522220522625606222503
kinetics,2205622220506225025265560262
more'n,526256222655252520026
nourisheth,55025265565222252056255560262205662
alpine,256006252625662556066
agama,250006225665222503
ungenuine,25205625262526250652225602625264
Pinchot,5020666226206255025262203
spatha,255002255560665560662
withsaid,5520522250206225505662205666
depreciatory,250626652002622226066552062625005622506022
islets,220566255206222565566
orbifolded,55655222520026556002655620622266526
skelling,2220022526202225065625562566
catenins,2200622526606225565665266562
pipetting,22200665262062255606655602625523
Beersheba,20000265200562256056255560262253
wired,552052225650625253
bull-pup,5500626252026255052662562560
SYSOP,505065226220022653
mopsy-eyed,55655622565522255666625200222522065
merrythoughts,2205262556026255560262220026252566222265665504
awakens,2200662522652225600622204
schoolmarmish,5556022220062225020662562522520522225055662564
peripheries,225066625605622556026520566225200665504
dreidl,556656655200262506562
walking-cane,252052252660622505566220502225620652265526
zucchettos,22556262226562556062255606222565066
cybertherapist,5560622225566225060265500262255002652502662565066
evolutionist,556026222502262502522526256622265622556566
ghettoising,226052252620662506562225026625565662264
eleventhly,25062625562566550656255202265266562
bushmaster,52006262520562552062222056662505562
chouse,256002222056662565222
footloose,25605262205222226252222265665564
alright,5560662550256622200262504
norward,5565526520522225500262223
compositor,52006222262522556526225560662205222
softling,2220022526252225065265526566
pianofortist,552066622056622506062556522652052222266526
vitamers,2250226520566225205662566062
polypterus,22506662565222520526625250625520666
diaporthe,25605665502062556066252506662264
cottars,2200622520522225505665523
albuminoses,220066225655662200626222656252625622504
metacommunities,22052622560562255656655606622506022526252225652622564
kilobases,22056222565062220526625055225203
martes,220526225600625520626
backless,2200626220066225600225562022
chitting,2260022526206625020625520266
club-law,2260622250556655265622566020
omega-6,5265225256256525005622263
tenses,225026625605622205226
embryoid,5560562250256222660262556626
buttock,2206026225056222265665523
neurolysis,22052262506562225026225566265562522
lightbox,5502266226206252005225565666
apostille,25600625526066556252225560225523
weather-eye,252052225062622560062252656052056662563
